Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
10/14/2020,02/01/2020,10/10/2020,AK,Anchorage Borough,2020,32,1404
10/14/2020,02/01/2020,10/10/2020,AK,Fairbanks North Star Borough,2090,11,315
10/14/2020,02/01/2020,10/10/2020,AL,Autauga County,1001,25,354
10/14/2020,02/01/2020,10/10/2020,AL,Baldwin County,1003,75,1526
10/14/2020,02/01/2020,10/10/2020,AL,Barbour County,1005,11,190
10/14/2020,02/01/2020,10/10/2020,AL,Bibb County,1007,16,132
10/14/2020,02/01/2020,10/10/2020,AL,Blount County,1009,11,351
10/14/2020,02/01/2020,10/10/2020,AL,Butler County,1013,27,161
10/14/2020,02/01/2020,10/10/2020,AL,Calhoun County,1015,88,1111
10/14/2020,02/01/2020,10/10/2020,AL,Chilton County,1021,16,288
10/14/2020,02/01/2020,10/10/2020,AL,Clay County,1027,25,132
10/14/2020,02/01/2020,10/10/2020,AL,Colbert County,1033,36,447
10/14/2020,02/01/2020,10/10/2020,AL,Covington County,1039,55,405
10/14/2020,02/01/2020,10/10/2020,AL,Crenshaw County,1041,26,147
10/14/2020,02/01/2020,10/10/2020,AL,Cullman County,1043,30,715
10/14/2020,02/01/2020,10/10/2020,AL,Dale County,1045,53,353
10/14/2020,02/01/2020,10/10/2020,AL,Dallas County,1047,43,344
10/14/2020,02/01/2020,10/10/2020,AL,DeKalb County,1049,18,485
10/14/2020,02/01/2020,10/10/2020,AL,Elmore County,1051,34,486
10/14/2020,02/01/2020,10/10/2020,AL,Escambia County,1053,20,261
10/14/2020,02/01/2020,10/10/2020,AL,Etowah County,1055,129,1196
10/14/2020,02/01/2020,10/10/2020,AL,Franklin County,1059,13,212
10/14/2020,02/01/2020,10/10/2020,AL,Houston County,1069,219,1440
10/14/2020,02/01/2020,10/10/2020,AL,Jackson County,1071,16,455
10/14/2020,02/01/2020,10/10/2020,AL,Jefferson County,1073,606,7081
10/14/2020,02/01/2020,10/10/2020,AL,Lauderdale County,1077,64,1004
10/14/2020,02/01/2020,10/10/2020,AL,Lee County,1081,138,939
10/14/2020,02/01/2020,10/10/2020,AL,Limestone County,1083,31,570
10/14/2020,02/01/2020,10/10/2020,AL,Madison County,1089,138,2919
10/14/2020,02/01/2020,10/10/2020,AL,Marengo County,1091,16,179
10/14/2020,02/01/2020,10/10/2020,AL,Marion County,1093,25,283
