FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden Jr.,Donald J. Trump,Brock Pierce,Dr. Jo Jorgensen,Howie Hawkins,Donald L. Blankenship,Rocky de la Fuente,Kanye West,Gloria La Riva,Write-in,Alyson Kennedy,John Richard Myers,Brian Carroll,Phil Collins,Blake Huber,Jerry Segal,James Janos,Kyle Kenley Kopitke,Dario Hunter,Joseph Kishore,Bill Hammons,Eric Boddie,Mark Charles,Richard Duncan,Tom Hoefling,Princess Khadijah Jacob-F,Ricki Sue King,Christopher LaFontaine,Keith McCormic,Joe McHugh,H. Brooke Paige,Zac Scalf,Jordan Scott,Jade Simmons,Gary Swing,Sheila 'Samm' Tittle,None of These Candidates,C. L. Gammon
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
1,Alabama,State,2323282,849624,1441170,0,25176,0,0,0,0,0,7312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,356845,153502,189543,822,8877,0,1120,317,0,0,0,0,0,0,0,0,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,3395427,1672143,1661686,0,51465,1011,0,0,0,138,8826,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
5,Arkansas,State,1219069,423932,760647,2141,13133,2980,2108,1321,4099,1336,0,0,1372,1713,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475
6,California,State,17444560,11082386,5982232,37,187154,80729,0,59846,0,50825,460,0,0,604,0,0,0,129,0,0,36,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Colorado,State,3256649,1804196,1364471,572,52454,8984,5061,636,8086,1035,0,354,0,2515,568,355,0,0,762,379,196,2730,0,2011,0,0,495,0,0,0,614,0,0,175,0,0,0,0,0
9,Connecticut,State,1824273,1080680,715291,0,20227,7538,0,13,253,0,21,0,0,217,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
10,Delaware,State,504010,296268,200603,0,5000,2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,344356,317323,18586,693,2036,1726,0,0,0,855,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,11091758,5297045,5668731,0,70324,14721,3902,5966,0,5712,24503,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,4998482,2474507,2461837,0,62138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,574469,366130,196864,1183,5539,3822,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,868337,287021,554119,2808,16404,407,1884,1491,3632,49,331,0,0,163,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,21,0,0,0,0
17,Illinois,State,5952134,3442242,2389089,0,65615,30142,0,0,0,7932,7632,0,0,9482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Indiana,State,3033383,1242405,1729510,0,59232,988,0,0,0,0,355,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iowa,State,1690871,759061,897672,544,19637,3075,1707,1082,3210,0,4337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0
20,Kansas,State,1333513,551144,752903,0,29466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,2136768,772474,1326646,3599,26234,716,0,0,6483,98,11,0,0,408,0,0,0,0,0,0,0,0,7,43,0,20,0,0,0,0,0,0,0,0,29,0,0,0,0
22,Louisiana,State,2148062,856034,1255776,749,21645,0,860,0,4897,987,0,536,0,2497,0,0,0,0,0,0,0,662,1125,0,0,668,0,0,0,0,0,0,0,0,1626,0,0,0,0
23,Maine,State,819461,435072,360737,0,14152,8230,0,1183,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,3017875,1985023,976414,1,33488,15799,0,8,2,545,246,0,0,418,30,0,5884,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
25,Massachusetts,State,3631402,2382202,1167202,0,47013,18658,0,0,0,0,16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Michigan,State,5547053,2804040,2649852,0,60381,13718,7235,2986,0,0,7757,0,0,963,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,89,0,0,0,0
27,Minnesota,State,3277195,1717049,1484048,5651,34976,10034,75,5611,7939,1210,8797,643,0,1037,0,0,0,0,0,1,0,0,0,112,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Mississippi,State,1314594,539494,756731,659,8025,1498,1279,0,3657,0,773,0,0,1161,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,3012436,1242851,1711848,0,40932,8219,3894,0,0,0,4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,603640,244786,343602,0,15252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,951712,374583,556846,0,20283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,1405376,703486,669890,0,14783,0,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14079,0
33,New Hampshire,State,803810,424921,365654,0,13235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,New Jersey,State,4561477,2607828,1883059,0,31669,14201,2955,2726,0,2929,12856,0,0,0,0,0,0,0,0,0,0,3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,New Mexico,State,923965,501614,401894,0,12585,4426,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0
36,New York,State,7245519,4126976,3000454,20003,52944,26331,16,4,257,41,18192,0,0,239,4,0,0,0,0,2,3,0,0,20,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
37,North Carolina,State,5524683,2684292,2758773,0,48678,12195,7549,0,0,0,13196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
