state,year,total,D,R,R_pv2p,D_pv2p,swing_r,swing_d,party,winner,candidate,pv,pv2p,incumbent,incumbent_party,prev_admin,margin_pct_nat,margin_pct_lag_nat,swing_nat,unemployment_nat_a,RDI_growth_a,inflation_a,stock_a,GDP_growth_a,term.x,unemployment_nat_t,RDI_growth_t,inflation_t,stock_t,GDP_growth_t,unemployment_loc_a,lfpr_loc_a,term.y,unemployment_loc_t,lfpr_loc_t,avg_support_10,avg_support_2,total_cost,R_pv2p_lag,D_pv2p_lag,pv2p_lag
Alabama,1976,1182850,659170,504070,43.33327602214504,56.66672397785496,NA,NA,democrat,TRUE,"Carter, Jimmy",49.85266664,51.13734917444963,FALSE,FALSE,FALSE,1.137349174449632,-11.78900883147498,12.926358005924612,7.7,0.007970084722630813,56.93333333333332,102.79083316666674,1.0640058056245374,6,6.66875,0.00469414917043684,51.125,94.4777085208333,0.5526784785296639,6.766666666666667,57.03333333333333,6,6.766666666666667,57.03333333333333,NA,NA,NA,73.93296023635789,26.067039763642118,26.067039763642118
Alabama,1976,1182850,659170,504070,43.33327602214504,56.66672397785496,NA,NA,republican,FALSE,"Ford, Gerald",47.63511371,48.86265082555036,TRUE,TRUE,TRUE,-1.1373491744496391,1.137349174449632,-2.274698348899271,7.7,0.007970084722630813,56.93333333333332,102.79083316666674,1.0640058056245374,6,6.66875,0.00469414917043684,51.125,94.4777085208333,0.5526784785296639,6.766666666666667,57.03333333333333,6,6.766666666666667,57.03333333333333,NA,NA,NA,73.93296023635789,26.067039763642118,73.93296023635789
Alabama,1980,1341929,636730,654192,50.67633830703947,49.323661692960535,7.34306228489443,-7.3430622848944225,democrat,FALSE,"Carter, Jimmy",41.01993031,44.84244123187356,TRUE,TRUE,FALSE,-5.157558768126442,-1.1373491744496391,-4.020209593676803,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756,8.883333333333333,59.00833333333333,7,7.422916666666667,58.93958333333333,NA,NA,NA,43.33327602214504,56.66672397785496,56.66672397785496
Alabama,1980,1341929,636730,654192,50.67633830703947,49.323661692960535,7.34306228489443,-7.3430622848944225,republican,TRUE,"Reagan, Ronald",50.45575474,55.157558768126435,FALSE,FALSE,FALSE,5.157558768126435,-5.157558768126442,10.315117536252878,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756,8.883333333333333,59.00833333333333,7,7.422916666666667,58.93958333333333,NA,NA,NA,43.33327602214504,56.66672397785496,43.33327602214504
Alabama,1984,1441713,551899,872849,61.26339535131827,38.736604648681734,10.5870570442788,-10.5870570442788,democrat,FALSE,"Mondale, Walter",40.41861657,40.876648809274144,FALSE,FALSE,TRUE,-9.123351190725856,5.157558768126435,-14.280909958852291,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859,11,60.858333333333334,8,12.3625,59.791666666666664,NA,35.03464325,NA,50.67633830703947,49.323661692960535,49.323661692960535
Alabama,1984,1441713,551899,872849,61.26339535131827,38.736604648681734,10.5870570442788,-10.5870570442788,republican,TRUE,"Reagan, Ronald",58.46086046,59.12335119072585,TRUE,TRUE,FALSE,9.123351190725849,-9.123351190725856,18.246702381451705,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859,11,60.858333333333334,8,12.3625,59.791666666666664,NA,57.0585095,NA,50.67633830703947,49.323661692960535,50.67633830703947
Alabama,1988,1378476,549506,815576,59.74556839808891,40.254431601911094,-1.5178269532293598,1.5178269532293598,democrat,FALSE,"Dukakis, Michael",45.54877735,46.167544710005984,FALSE,FALSE,FALSE,-3.832455289994016,9.123351190725849,-12.955806480719865,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095,7.191666666666666,61.40833333333333,9,8.525,61.43125,NA,36.9171513636364,NA,61.26339535131827,38.736604648681734,38.736604648681734
Alabama,1988,1378476,549506,815576,59.74556839808891,40.254431601911094,-1.5178269532293598,1.5178269532293598,republican,TRUE,"Bush, George H.W.",53.11095783,53.832455289994016,FALSE,TRUE,TRUE,3.832455289994016,-3.832455289994016,7.664910579988032,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095,7.191666666666666,61.40833333333333,9,8.525,61.43125,NA,55.5398201818182,NA,61.26339535131827,38.736604648681734,61.26339535131827
Alabama,1992,1688060,690080,804283,53.82112645990298,46.178873540097015,-5.924441938185936,5.924441938185922,democrat,TRUE,"Clinton, Bill",42.88416955,53.62069583838034,FALSE,FALSE,FALSE,3.6206958383803425,3.832455289994016,-0.21175945161367338,7.491666666666667,0.009805129294970717,140.30833333333325,417.1158345,1.0782104055655632,10,6.304166666666666,0.005670335796065384,132.76875,364.41103997916673,0.550509567532052,7.566666666666666,62.358333333333334,10,7.1875,61.958333333333336,41.5515094333333,40.188079,NA,59.74556839808891,40.254431601911094,40.254431601911094
Alabama,1992,1688060,690080,804283,53.82112645990298,46.178873540097015,-5.924441938185936,5.924441938185922,republican,FALSE,"Bush, George H.W.",37.09272907,46.37930416161966,TRUE,TRUE,TRUE,-3.6206958383803425,3.6206958383803425,-7.241391676760685,7.491666666666667,0.009805129294970717,140.30833333333325,417.1158345,1.0782104055655632,10,6.304166666666666,0.005670335796065384,132.76875,364.41103997916673,0.550509567532052,7.566666666666666,62.358333333333334,10,7.1875,61.958333333333336,42.5941614666667,41.6508586,NA,59.74556839808891,40.254431601911094,59.74556839808891
