year,party,winner,candidate,pv,pv2p,incumbent,incumbent_party,prev_admin,margin_pct_nat,margin_pct_lag_nat,swing_nat,unemployment_nat_a,RDI_growth_a,inflation_a,stock_a,GDP_growth_a,term,unemployment_nat_t,RDI_growth_t,inflation_t,stock_t,GDP_growth_t
1948,democrat,TRUE,"Truman, Harry",49.50723015,52.31764024526674,TRUE,TRUE,FALSE,2.3176402452667375,NA,NA,3.75,NA,24.045,15.530000083333325,0.9598880241451663,NA,NA,NA,NA,NA,NA
1948,republican,FALSE,"Dewey, Thomas",45.12094864,47.68235975473327,FALSE,FALSE,FALSE,-2.3176402452667304,2.3176402452667375,-4.635280490533468,3.75,NA,24.045,15.530000083333325,0.9598880241451663,NA,NA,NA,NA,NA,NA
1952,democrat,FALSE,"Stevenson, Adlai",44.37787914,44.71055631014964,FALSE,TRUE,FALSE,-5.2894436898503585,-2.3176402452667304,-2.971803444583628,3.025,NA,26.5666666666667,24.6358335,1.3225010072870007,-0,NA,NA,NA,18.34869055952381,NA
1952,republican,TRUE,"Eisenhower, Dwight",54.87805235,55.28944368985036,FALSE,FALSE,FALSE,5.2894436898503585,-5.2894436898503585,10.578887379700717,3.025,NA,26.5666666666667,24.6358335,1.3225010072870007,-0,NA,NA,NA,18.34869055952381,NA
1956,democrat,FALSE,"Stevenson, Adlai",41.95397262,42.23566031975866,TRUE,FALSE,FALSE,-7.764339680241342,5.2894436898503585,-13.0537833700917,4.124999999999997,NA,27.19083333333335,46.48083333333332,0.498505972910536,1,4.252083333333332,NA,26.90500000000001,35.53104164583334,0.7312780660958047
1956,republican,TRUE,"Eisenhower, Dwight",57.37908457,57.76433968024135,TRUE,TRUE,FALSE,7.764339680241349,-7.764339680241342,15.528679360482691,4.124999999999997,NA,27.19083333333335,46.48083333333332,0.498505972910536,1,4.252083333333332,NA,26.90500000000001,35.53104164583334,0.7312780660958047
1960,republican,FALSE,"Nixon, Richard M.",49.54828509,49.91324051234254,FALSE,TRUE,TRUE,-0.08675948765746,7.764339680241349,-7.851099167898809,5.541666666666665,0.004876691180993026,29.585,55.601666416666646,0.22843789658599994,2,5.533333333333332,NA,28.932291666666657,51.110833291666665,0.533061102778656
1960,democrat,TRUE,"Kennedy, John F.",49.72053533,50.08675948765746,FALSE,FALSE,FALSE,0.08675948765746,-0.08675948765746,0.17351897531492,5.541666666666665,0.004876691180993026,29.585,55.601666416666646,0.22843789658599994,2,5.533333333333332,NA,28.932291666666657,51.110833291666665,0.533061102778656
1964,republican,FALSE,"Goldwater, Barry",38.47171769,38.65603216011591,FALSE,FALSE,FALSE,-11.343967839884087,0.08675948765746,-11.430727327541547,5.158333333333335,0.01773705998748765,31.038333333333327,81.54666766666665,1.267044267517546,3,5.764583333333333,0.013026595586140716,30.456666666666667,70.09354185416666,1.2896139999831218
1964,democrat,TRUE,"Johnson, Lyndon B.",61.05147582,61.34396783988409,TRUE,TRUE,TRUE,11.343967839884087,-11.343967839884087,22.687935679768174,5.158333333333335,0.01773705998748765,31.038333333333327,81.54666766666665,1.267044267517546,3,5.764583333333333,0.013026595586140716,30.456666666666667,70.09354185416666,1.2896139999831218
1968,republican,TRUE,"Nixon, Richard M.",43.41574369,50.40462161106466,FALSE,FALSE,TRUE,0.40462161106466255,11.343967839884087,-10.939346228819424,3.5583333333333327,0.01101040421274354,34.79166666666665,98.53583350000002,1.2196443083629667,4,3.925,0.011930351437598689,33.04145833333334,90.91166641666668,1.2611913447194867
1968,democrat,FALSE,"Humphrey, Hubert",42.71870649,49.595378388935345,FALSE,TRUE,FALSE,-0.40462161106465544,0.40462161106466255,-0.809243222129318,3.5583333333333327,0.01101040421274354,34.79166666666665,98.53583350000002,1.2196443083629667,4,3.925,0.011930351437598689,33.04145833333334,90.91166641666668,1.2611913447194867
1972,republican,TRUE,"Nixon, Richard M.",60.69324321,61.78900883147498,TRUE,TRUE,TRUE,11.78900883147498,-0.40462161106465544,12.193630442539636,5.600000000000002,0.018621335828529567,41.80833333333332,109.78166633333325,1.681891339072612,5,5.0062500000000005,0.012663689021498494,39.45416666666666,97.25479125,0.8080463158880518
1972,democrat,FALSE,"McGovern, George",37.53335786,38.21099116852502,FALSE,FALSE,FALSE,-11.78900883147498,11.78900883147498,-23.57801766294996,5.600000000000002,0.018621335828529567,41.80833333333332,109.78166633333325,1.681891339072612,5,5.0062500000000005,0.012663689021498494,39.45416666666666,97.25479125,0.8080463158880518
1976,democrat,TRUE,"Carter, Jimmy",49.85266664,51.13734917444963,FALSE,FALSE,FALSE,1.137349174449632,-11.78900883147498,12.926358005924612,7.7,0.007970084722630813,56.93333333333332,102.79083316666674,1.0640058056245374,6,6.66875,0.00469414917043684,51.125,94.4777085208333,0.5526784785296639
1976,republican,FALSE,"Ford, Gerald",47.63511371,48.86265082555036,TRUE,TRUE,TRUE,-1.1373491744496391,1.137349174449632,-2.274698348899271,7.7,0.007970084722630813,56.93333333333332,102.79083316666674,1.0640058056245374,6,6.66875,0.00469414917043684,51.125,94.4777085208333,0.5526784785296639
1980,democrat,FALSE,"Carter, Jimmy",41.01993031,44.84244123187356,TRUE,TRUE,FALSE,-5.157558768126442,-1.1373491744496391,-4.020209593676803,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756
1980,republican,TRUE,"Reagan, Ronald",50.45575474,55.157558768126435,FALSE,FALSE,FALSE,5.157558768126435,-5.157558768126442,10.315117536252878,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756
1984,democrat,FALSE,"Mondale, Walter",40.41861657,40.876648809274144,FALSE,FALSE,TRUE,-9.123351190725856,5.157558768126435,-14.280909958852291,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859
